,suburb_id,postcode,state,distance_km,population,median_income,ttl_properties_sold,ttl_house_sold,ttl_house_tier1,ttl_house_tier2,ttl_house_tier3,ttl_apt_sold,ttl_apt_tier1,ttl_apt_tier2,ttl_apt_tier3,house_affordability_tier1,house_affordability_tier2,house_affordability_tier3,apt_affordability_tier1,apt_affordability_tier2,apt_affordability_tier3,properties_ttl,house_ttl,house_3beds_ttl,house_4beds_ttl,house_5beds_ttl,apt_ttl,apt_1bed_ttl,apt_2beds_ttl,apt_3beds_ttl,house_ttl_perc,house_3beds_perc,house_4beds_perc,house_5beds_perc,apt_ttl_perc,apt_1bed_perc,apt_2beds_perc,apt_3beds_perc,price_house_2016,price_house_2017,price_house_2018,price_house_2019,price_house_2020,price_house_2021,price_apt_2016,price_apt_2017,price_apt_2018,price_apt_2019,price_apt_2020,price_apt_2021,house_5yr_growth,house_2017_growth,house_2018_growth,house_2019_growth,house_2020_growth,house_2021_growth,apt_5yr_growth,apt_2017_growth,apt_2018_growth,apt_2019_growth,apt_2020_growth,apt_2021_growth,price_house_jan21,price_house_feb21,price_house_mar21,price_house_apr21,price_house_may21,price_house_jun21,price_house_jul21,price_apt_jan21,price_apt_feb21,price_apt_mar21,price_apt_apr21,price_apt_may21,price_apt_jun21,price_apt_jul21,house_6mths_growth,house_feb_growth,house_mar_growth,house_apr_growth,house_may_growth,house_jun_growth,house_jul_growth,apt_6mths_growth,apt_feb_growth,apt_mar_growth,apt_apr_growth,apt_may_growth,apt_jun_growth,apt_jul_growth
854,northmead-nsw-2152,2152,NSW,22.079,11215,40924,146.0,73.0,46.0,10.0,0.0,73.0,42.0,1.0,0.0,0.63,0.137,0.0,0.575,0.014,0.0,1324.0,811.0,390.0,259.0,77.0,513.0,61.0,352.0,97.0,0.613,0.481,0.319,0.095,0.387,0.119,0.686,0.189,970000.0,1130000.0,1029000.0,945000.0,1070000.0,1350000.0,545000.0,570000.0,542557.0,540000.0,495000.0,505000.0,0.392,0.165,-0.089,-0.082,0.132,0.262,-0.073,0.046,-0.048,-0.005,-0.083,0.02,800000.0,1083500.0,1280000.0,1430000.0,1200000.0,1311000.0,1350000.0,0.0,460000.0,430000.0,500000.0,410000.0,515000.0,503000.0,0.688,0.354,0.181,0.117,-0.161,0.093,0.03,,,-0.065,0.163,-0.18,0.256,-0.023
855,pennant-hills-nsw-2120,2120,NSW,19.082,7287,43472,92.0,72.0,20.0,33.0,18.0,20.0,17.0,1.0,0.0,0.278,0.458,0.25,0.85,0.05,0.0,901.0,710.0,202.0,317.0,147.0,191.0,62.0,113.0,16.0,0.788,0.285,0.446,0.207,0.212,0.325,0.592,0.084,1351000.0,1550000.0,1360000.0,1350000.0,1475000.0,1815000.0,575000.0,619200.0,610000.0,500000.0,570000.0,590000.0,0.343,0.147,-0.123,-0.007,0.093,0.231,0.026,0.077,-0.015,-0.18,0.14,0.035,1558000.0,1505000.0,1815000.0,1825000.0,1610000.0,1880000.0,2050000.0,0.0,590000.0,590000.0,340000.0,0.0,0.0,0.0,0.316,-0.034,0.206,0.006,-0.118,0.168,0.09,,,0.0,-0.424,-1.0,,
856,queens-park-nsw-2022,2022,NSW,4.905,3066,64168,33.0,28.0,0.0,8.0,20.0,5.0,1.0,2.0,2.0,0.0,0.286,0.714,0.2,0.4,0.4,526.0,413.0,178.0,141.0,28.0,113.0,33.0,78.0,2.0,0.785,0.431,0.341,0.068,0.215,0.292,0.69,0.018,2340000.0,2400000.0,2840000.0,2730000.0,2610000.0,3260000.0,970000.0,1030000.0,920000.0,1075000.0,930000.0,1055000.0,0.393,0.026,0.183,-0.039,-0.044,0.249,0.088,0.062,-0.107,0.168,-0.135,0.134,0.0,0.0,3300000.0,0.0,0.0,0.0,0.0,0.0,0.0,730000.0,0.0,0.0,0.0,0.0,,,,-1.0,,,,,,,-1.0,,,
857,clontarf-qld-4019,4019,QLD,25.322,8279,32916,178.0,150.0,2.0,0.0,0.0,28.0,3.0,1.0,0.0,0.013,0.0,0.0,0.107,0.036,0.0,1331.0,1153.0,650.0,270.0,69.0,178.0,8.0,105.0,60.0,0.866,0.564,0.234,0.06,0.134,0.045,0.59,0.337,411000.0,452000.0,459000.0,455000.0,480000.0,565000.0,355000.0,402000.0,315000.0,320000.0,360000.0,343500.0,0.375,0.1,0.015,-0.009,0.055,0.177,-0.032,0.132,-0.216,0.016,0.125,-0.046,470000.0,511000.0,533000.0,587500.0,545000.0,545000.0,590000.0,0.0,260000.0,330000.0,343500.0,310000.0,0.0,0.0,0.255,0.087,0.043,0.102,-0.072,0.0,0.083,,,0.269,0.041,-0.098,-1.0,
858,cottesloe-wa-6011,6011,WA,11.046,7375,64012,34.0,21.0,6.0,4.0,11.0,13.0,5.0,3.0,1.0,0.286,0.19,0.524,0.385,0.231,0.077,165.0,122.0,41.0,54.0,14.0,43.0,11.0,15.0,14.0,0.739,0.336,0.443,0.115,0.261,0.256,0.349,0.326,1690000.0,2350000.0,2280000.0,1850000.0,1720000.0,1685000.0,730000.0,550000.0,720000.0,320000.0,580000.0,745000.0,-0.003,0.391,-0.03,-0.189,-0.07,-0.02,0.021,-0.247,0.309,-0.556,0.813,0.284,1345000.0,1528000.0,2110000.0,0.0,0.0,1685000.0,0.0,0.0,0.0,0.0,240000.0,0.0,0.0,0.0,-1.0,0.136,0.381,-1.0,,,-1.0,,,,,-1.0,,
859,breakfast-point-nsw-2137,2137,NSW,9.564,4188,58188,113.0,4.0,0.0,0.0,4.0,109.0,21.0,30.0,58.0,0.0,0.0,1.0,0.193,0.275,0.532,921.0,53.0,8.0,16.0,27.0,868.0,174.0,422.0,265.0,0.058,0.151,0.302,0.509,0.942,0.2,0.486,0.305,2650000.0,0.0,2702000.0,3000000.0,3175000.0,0.0,1143000.0,1241000.0,1068000.0,1100000.0,1138000.0,1205000.0,-1.0,-1.0,,0.11,0.058,-1.0,0.054,0.086,-0.139,0.03,0.035,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756000.0,1180000.0,1032000.0,1250000.0,1265000.0,1120000.0,1085500.0,,,,,,,,0.436,0.561,-0.125,0.211,0.012,-0.115,-0.031
860,keilor-downs-vic-3038,3038,VIC,18.912,9995,26104,69.0,55.0,1.0,0.0,0.0,14.0,11.0,0.0,0.0,0.018,0.0,0.0,0.786,0.0,0.0,698.0,642.0,380.0,217.0,37.0,56.0,0.0,17.0,39.0,0.92,0.592,0.338,0.058,0.08,0.0,0.304,0.696,564000.0,670000.0,670000.0,630000.0,680000.0,732000.0,375000.0,0.0,497500.0,432000.0,495000.0,560000.0,0.298,0.188,0.0,-0.06,0.079,0.076,0.493,-1.0,,-0.132,0.146,0.131,682500.0,745000.0,688000.0,750000.0,700000.0,732000.0,0.0,0.0,0.0,0.0,0.0,560000.0,556000.0,0.0,-1.0,0.092,-0.077,0.09,-0.067,0.046,-1.0,,,,,,-0.007,-1.0
861,macquarie-park-nsw-2113,2113,NSW,12.572,8144,34216,89.0,0.0,0.0,0.0,0.0,89.0,59.0,29.0,0.0,,,,0.663,0.326,0.0,853.0,6.0,0.0,0.0,0.0,847.0,246.0,567.0,34.0,0.007,0.0,0.0,0.0,0.993,0.29,0.669,0.04,750000.0,0.0,0.0,0.0,0.0,0.0,696000.0,730000.0,710000.0,701000.0,720000.0,735000.0,-1.0,-1.0,,,,,0.056,0.049,-0.027,-0.013,0.027,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680000.0,670000.0,735000.0,750000.0,745000.0,635000.0,710000.0,,,,,,,,0.044,-0.015,0.097,0.02,-0.007,-0.148,0.118
862,woody-point-qld-4019,4019,QLD,24.972,4418,34112,139.0,75.0,1.0,0.0,1.0,64.0,23.0,11.0,1.0,0.013,0.0,0.013,0.359,0.172,0.016,926.0,627.0,280.0,126.0,40.0,299.0,6.0,169.0,117.0,0.677,0.447,0.201,0.064,0.323,0.02,0.565,0.391,425000.0,442000.0,465000.0,555000.0,562000.0,575000.0,278000.0,485000.0,316500.0,400000.0,380000.0,525000.0,0.353,0.04,0.052,0.194,0.013,0.023,0.888,0.745,-0.347,0.264,-0.05,0.382,556000.0,512000.0,480000.0,720000.0,630000.0,0.0,0.0,625000.0,534000.0,330000.0,380000.0,450000.0,380000.0,0.0,-1.0,-0.079,-0.063,0.5,-0.125,-1.0,,-1.0,-0.146,-0.382,0.152,0.184,-0.156,-1.0
863,bondi-junction-nsw-2022,2022,NSW,4.647,9445,54964,116.0,44.0,4.0,8.0,32.0,72.0,16.0,23.0,32.0,0.091,0.182,0.727,0.222,0.319,0.444,1338.0,546.0,255.0,133.0,19.0,792.0,255.0,397.0,124.0,0.408,0.467,0.244,0.035,0.592,0.322,0.501,0.157,1840000.0,2235000.0,2000000.0,2100000.0,2090000.0,2550000.0,975000.0,1125000.0,1000000.0,1000000.0,1035000.0,1250000.0,0.386,0.215,-0.105,0.05,-0.005,0.22,0.282,0.154,-0.111,0.0,0.035,0.208,0.0,2240000.0,2550000.0,2460000.0,0.0,2900000.0,0.0,990000.0,1000000.0,1000000.0,875000.0,1260000.0,0.0,1300000.0,,,0.138,-0.035,-1.0,,-1.0,0.313,0.01,0.0,-0.125,0.44,-1.0,
